17:47:02 INFO  manager.ApplicationManager - All tests start in Chrome
17:47:37 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //*[text()='Forms']/ancestor::div[3]
17:47:38 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()='Forms']/ancestor::div[3] was found
17:47:38 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div.element-list.collapse.show
17:47:38 INFO  manager.MyListener - Element with locator-->By.cssSelector: div.element-list.collapse.show was found
17:47:38 INFO  tests.Base - Starts test named:--> fillStudentRegistrationForm
17:47:38 INFO  manager.MyListener - Start to find element with locator-->By.id: firstName
17:47:39 INFO  manager.MyListener - Element with locator-->By.id: firstName was found
17:47:39 INFO  manager.MyListener - Start to find element with locator-->By.id: lastName
17:47:39 INFO  manager.MyListener - Element with locator-->By.id: lastName was found
17:47:39 INFO  manager.MyListener - Start to find element with locator-->By.id: userEmail
17:47:39 INFO  manager.MyListener - Element with locator-->By.id: userEmail was found
17:47:40 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //label[@for='gender-radio-2']
17:47:40 INFO  manager.MyListener - Element with locator-->By.xpath: //label[@for='gender-radio-2'] was found
17:47:40 INFO  manager.MyListener - Start to find element with locator-->By.id: userNumber
17:47:40 INFO  manager.MyListener - Element with locator-->By.id: userNumber was found
17:47:40 INFO  manager.MyListener - Start to find element with locator-->By.id: dateOfBirthInput
17:47:41 INFO  manager.MyListener - Element with locator-->By.id: dateOfBirthInput was found
17:47:41 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: .react-datepicker__year-select
17:47:41 INFO  manager.MyListener - Element with locator-->By.cssSelector: .react-datepicker__year-select was found
17:47:41 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "2005"]
17:47:41 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "2005"] was found
17:47:42 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: .react-datepicker__month-select
17:47:42 INFO  manager.MyListener - Element with locator-->By.cssSelector: .react-datepicker__month-select was found
17:47:42 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "OCTOBER"]
17:47:47 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "OCTOBER"] was found
17:47:47 INFO  tests.Base - Finished test named:--> fillStudentRegistrationForm
